Restaurant_Name,Address,City,Phone,Cuisines,Ratings
river cafe, 1 water st., brooklyn, 7185225200, american (new), 56
san domenico, 240 central park s, new york, 2122655959, italian, 57
san domenico, 240 central park s., new york city, 2122655959, italian, 57
second avenue deli, 156 2nd ave. at 10th st., new york, 2126770606, delicatessen, 58
second avenue deli, 156 second ave., new york city, 2126770606, delis, 58
seryna, 11 e. 53rd st., new york, 2129809393, asian, 59
seryna, 11 e. 53rd st., new york city, 2129809393, japanese, 59
shun lee west, 43 w. 65th st., new york, 2123718844, asian, 60
shun lee palace, 155 e. 55th st., new york city, 2123718844, chinese, 60
sign of the dove, 1110 3rd ave. at 65th st., new york, 2128618080, american, 61
sign of the dove, 1110 third ave., new york city, 2128618080, american (new), 61
smith & wollensky, 201 e. 49th st., new york, 2127531530, american, 62
smith & wollensky, 797 third ave., new york city, 2127531530, steakhouses, 62
tavern on the green, in central park at 67th st., new york, 2128733200, american, 63
tavern on the green, central park west, new york city, 2128733200, american (new), 63
uncle nicks, 747 9th ave.  between 50th and 51st sts., new york, 2123151726, mediterranean, 64
uncle nicks, 747 ninth ave., new york city, 2122457992, greek, 64
union square cafe, 21 e. 16th st., new york, 2122434020, american, 65
union square cafe, 21 e. 16th st., new york city, 2122434020, american (new), 65
virgils, 152 w. 44th st., new york, 212 9219494, american, 66
virgils real bbq, 152 w. 44th st., new york city, 2129219494, bbq, 66
chins, 3200 las vegas blvd. s, las vegas, 7027338899, asian, 67
chins, 3200 las vegas blvd. s., las vegas, 7027338899, chinese, 67
coyote cafe, 3799 las vegas blvd. s, las vegas, 7028917349, southwestern, 68
coyote cafe (las vegas), 3799 las vegas blvd. s., las vegas, 7028917349, southwestern, 68
le montrachet, 3000 w. paradise rd., las vegas, 7027325111, continental, 69
le montrachet bistro, 3000 paradise rd., las vegas, 7027325651, french bistro, 69
palace court, 3570 las vegas blvd. s, las vegas, 7027317547, continental, 70
palace court, 3570 las vegas blvd. s., las vegas, 7027317110, french (new), 70
second street grille, 200 e. fremont st., las vegas, 7023853232, seafood, 71
second street grill, 200 e. fremont st., las vegas, 7023856277, pacific rim, 71
steak house, 2880 las vegas blvd. s, las vegas, 7027340410, steak houses, 72
steak house  the, 2880 las vegas blvd. s., las vegas, 7027340410, steakhouses, 72
tillerman, 2245 e. flamingo rd., las vegas, 7027314036, seafood, 73
tillerman  the, 2245 e. flamingo rd., las vegas, 7027314036, steakhouses, 73
abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, 4042618186, italian, 74
abruzzi, 2355 peachtree rd. ne, atlanta, 4042618186, italian, 74
bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, 4043650410, international, 75
bacchanalia, 3125 piedmont rd., atlanta, 4043650410, californian, 75
bones, 3130 piedmont road, atlanta, 4042372663, american, 76
bones restaurant, 3130 piedmont rd. ne, atlanta, 4042372663, steakhouses, 76
brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, 4042661440, french, 77
brasserie le coze, 3393 peachtree rd., atlanta, 4042661440, french bistro, 77
buckhead diner, 3073 piedmont road, atlanta, 4042623336, american, 78
buckhead diner, 3073 piedmont rd., atlanta, 4042623336, american (new), 78
ciboulette, 1529 piedmont ave., atlanta, 4048747600, french, 79
ciboulette restaurant, 1529 piedmont ave., atlanta, 4048747600, french (new), 79
delectables, 1 margaret mitchell sq., atlanta, 4046812909, american, 80
delectables, 1 margaret mitchell sq., atlanta, 4046812909, cafeterias, 80
georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, 4043523517, american, 81
georgia grille, 2290 peachtree rd., atlanta, 4043523517, southwestern, 81
hedgerose heights inn, 490 e. paces ferry rd., atlanta, 4042337673, international, 82
hedgerose heights inn  the, 490 e. paces ferry rd. ne, atlanta, 4042337673, continental, 82
heera of india, 595 piedmont ave.  rio shopping mall, atlanta, 4048764408, asian, 83
heera of india, 595 piedmont ave., atlanta, 4048764408, indian, 83
indigo coastal grill, 1397 n. highland ave., atlanta, 4048760676, caribbean, 84
indigo coastal grill, 1397 n. highland ave., atlanta, 4048760676, eclectic, 84
la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, 4042311368, italian, 85
la grotta, 2637 peachtree rd. ne, atlanta, 4042311368, italian, 85
mary macs tea room, 224 ponce de leon ave., atlanta, 4048761800, southern, 86
mary macs tea room, 224 ponce de leon ave., atlanta, 4048761800, southernsoul, 86
nikolais roof, 255 courtland st.  at harris st., atlanta, 4042216362, continental, 87
nikolais roof, 255 courtland st., atlanta, 4042216362, continental, 87
panos and pauls, 1232 w. paces ferry rd., atlanta, 4042613662, international, 88
panos & pauls, 1232 w. paces ferry rd., atlanta, 4042613662, american (new), 88
cafe  ritzcarlton  buckhead, 3434 peachtree rd., atlanta, 4042372700, ext 6108 international, 89
ritzcarlton cafe (buckhead), 3434 peachtree rd. ne, atlanta, 4042372700, american (new), 89
dining room  ritzcarlton  buckhead, 3434 peachtree rd., atlanta, 4042372700, international, 90
ritzcarlton dining room (buckhead), 3434 peachtree rd. ne, atlanta, 4042372700, american (new), 90
restaurant  ritzcarlton  atlanta, 181 peachtree st., atlanta, 4046590400, continental, 91
ritzcarlton restaurant, 181 peachtree st., atlanta, 4046590400, french (classic), 91
toulouse, b peachtree rd., atlanta, 4043519533, french, 92
toulouse, 293b peachtree rd., atlanta, 4043519533, french (new), 92
veni vidi vici, 41 14th st., atlanta, 4048758424, italian, 93
veni vidi vici, 41 14th st., atlanta, 4048758424, italian, 93
alain rondelli, 126 clement st., san francisco, 4153870408, french, 94
alain rondelli, 126 clement st., san francisco, 4153870408, french (new), 94
aqua, 252 california st., san francisco, 4159569662, seafood, 95
aqua, 252 california st., san francisco, 4159569662, american (new), 95
boulevard, 1 mission st., san francisco, 4155436084, american, 96
boulevard, 1 mission st., san francisco, 4155436084, american (new), 96
cafe claude, 7 claude la., san francisco, 4153923505, french, 97
cafe claude, 7 claude ln., san francisco, 4153923505, french bistro, 97
campton place, 340 stockton st., san francisco, 4159555555, american, 98
campton place, 340 stockton st., san francisco, 4159555555, american (new), 98
chez michel, 804 northpoint, san francisco, 4157757036, french, 99
chez michel, 804 north point st., san francisco, 4157757036, californian, 99
fleur de lys, 777 sutter st., san francisco, 4156737779, french, 100
fleur de lys, 777 sutter st., san francisco, 4156737779, french (new), 100
fringale, 570 4th st., san francisco, 4155430573, french, 101
fringale, 570 fourth st., san francisco, 4155430573, french bistro, 101
hawthorne lane, 22 hawthorne st., san francisco, 4157779779, american, 102
hawthorne lane, 22 hawthorne st., san francisco, 4157779779, californian, 102
khan toke thai house, 5937 geary blvd., san francisco, 4156686654, asian, 103
khan toke thai house, 5937 geary blvd., san francisco, 4156686654, thai, 103
la folie, 2316 polk st., san francisco, 4157765577, french, 104
la folie, 2316 polk st., san francisco, 4157765577, french (new), 104
lulu, 816 folsom st., san francisco, 4154955775, mediterranean, 105
lulu restaurantbiscafe, 816 folsom st., san francisco, 4154955775, mediterranean, 105
masas, 648 bush st., san francisco, 4159897154, french, 106
masas, 648 bush st., san francisco, 4159897154, french (new), 106
mifune japan center  kintetsu building, 1737 post st., san francisco, 4159220337, asian, 107
mifune, 1737 post st., san francisco, 4159220337, japanese, 107
plumpjack cafe, 3201 fillmore st., san francisco, 4155634755, mediterranean, 108
plumpjack cafe, 3127 fillmore st., san francisco, 4155634755, american (new), 108
postrio, 545 post st., san francisco, 4157767825, american, 109
postrio, 545 post st., san francisco, 4157767825, californian, 109
ritzcarlton restaurant and dining room, 600 stockton st., san francisco, 4152967465, american, 110
ritzcarlton dining room (san francisco), 600 stockton st., san francisco, 4152967465, french (new), 110
rose pistola, 532 columbus ave., san francisco, 4153990499, italian, 111
rose pistola, 532 columbus ave., san francisco, 4153990499, italian, 111
adrianos ristorante, 2930 beverly glen circle, los angeles, 3104759807, italian, 112
barney greengrass, 9570 wilshire blvd., beverly hills, 3107775877, american, 113
beaurivage, 26025 pacific coast hwy., malibu, 3104565733, french, 114
bistro garden, 176 n. canon dr., los angeles, 3105503900, californian, 115
border grill, 4th st., los angeles, 3104511655, mexican, 116
broadway deli, 3rd st. promenade, santa monica, 3104510616, american, 117
cabrea, 346 s. la brea ave., los angeles, 2139382863, italian, 118
cadel sol, 4100 cahuenga blvd., los angeles, 8189854669, italian, 119
cafe pinot, 700 w. fifth st., los angeles, 2132396500, californian, 120
california pizza kitchen, 207 s. beverly dr., los angeles, 3102751101, californian, 121
canters, 419 n. fairfax ave., los angeles, 2136512030., american, 122
cava, 3rd st., los angeles, 2136588898, mediterranean, 123
cha cha cha, 656 n. virgil ave., los angeles, 2136647723, caribbean, 124
chan dara, 310 n. larchmont blvd., los angeles, 2134671052, asian, 125
clearwater cafe, 168 w. colorado blvd., los angeles, 8183560959, health food, 126
dining room, 9500 wilshire blvd., los angeles, 3102755200, californian, 127
dive!, 10250 santa monica blvd., los angeles, 310788, dive american, 128
drago, 2628 wilshire blvd., santa monica, 3108281585, italian, 129
drais, 730 n. la cienega blvd., los angeles, 3103588585, french, 130
dynasty room, 930 hilgard ave., los angeles, 3102088765, continental, 131
eclipse, 8800 melrose ave., los angeles, 3107245959, californian, 132
ed debevics, 134 n. la cienega, los angeles, 3106591952, american, 133
el cholo, 1121 s. western ave., los angeles, 2137342773, mexican, 134
gillilands, 2424 main st., santa monica, 3103923901, american, 135
gladstones, 4 fish 17300 pacific coast hwy. at sunset blvd., pacific palisades, 3104543474, american, 136
hard rock cafe, 8600 beverly blvd., los angeles, 3102767605, american, 137
harrys bar & american grill, 2020 ave. of the stars, los angeles, 3102772333, italian, 138
il fornaio cucina italiana, 301 n. beverly dr., los angeles, 3105508330, italian, 139
jack sprats grill, 10668 w. pico blvd., los angeles, 3108376662, health food, 140
jacksons farm, 439 n. beverly drive, los angeles, 3102735578, californian, 141
jimmys, 201 moreno dr., los angeles, 3105522394, continental, 142
joss, 9255 sunset blvd., los angeles, 3102761886, asian, 143
le colonial, 8783 beverly blvd., los angeles, 3102890660, asian, 144
le dome, 8720 sunset blvd., los angeles, 3106596919, french, 145
louises trattoria, 4500 los feliz blvd., los angeles, 2136670777, italian, 146
mon kee seafood restaurant, 679 n. spring st., los angeles, 2136286717, asian, 147
mortons, 8764 melrose ave., los angeles, 3102765205, american, 148
nate n als, 414 n. beverly dr., los angeles, 3102740101, american, 149
nicola, 601 s. figueroa st., los angeles, 2134850927, american, 150
ocean avenue, 1401 ocean ave., santa monica, 3103945669, american, 151
orleans, 11705 national blvd., los angeles, 3104794187, cajun, 152
pacific dining car, 6th st., los angeles, 2134836000, american, 153
patys, 10001 riverside dr., toluca lake, 8187619126, american, 154
pinot hollywood, 1448 n. gower st., los angeles, 2134618800, californian, 155
posto, 14928 ventura blvd., sherman oaks, 8187844400, italian, 156
prego, 362 n. camden dr., los angeles, 3102777346, italian, 157
rjs the rib joint, 252 n. beverly dr., los angeles, 3102747427, american, 158
remi, 3rd st. promenade, santa monica, 3103936545, italian, 159
restaurant horikawa, 111 s. san pedro st., los angeles, 2136809355, asian, 160
roscoes house of chicken n waffles, 1514 n. gower st., los angeles, 2134669329, american, 161
schatzi on main, 3110 main st., los angeles, 3103994800, continental, 162
sofi, 3rd st., los angeles, 2136510346, mediterranean, 163
swingers, 8020 beverly blvd., los angeles, 2136535858, american, 164
tavola calda, 7371 melrose ave., los angeles, 2136586340, italian, 165
the mandarin, 430 n. camden dr., los angeles, 3108590926, asian, 166
tommy tangs, 7313 melrose ave., los angeles, 2139375733, asian, 167
tra di noi, 3835 cross creek rd., los angeles, 3104560169, italian, 168
trader vics, 9876 wilshire blvd., los angeles, 3102766345, asian, 169
vida, 1930 north hillhurst ave., los feliz, 2136604446, american, 170
west beach cafe, 60 n. venice blvd., los angeles, 3108235396, american, 171
20 mott, 20 mott st.  between bowery and pell st., new york, 2129640380, asian, 172
9 jones street, 9 jones st., new york, 2129891220, american, 173
adrienne, 700 5th ave. at 55th st., new york, 2129033918, french, 174
agrotikon, 322 e. 14 st.  between 1st and 2nd aves., new york, 2124732602, mediterranean, 175
aja, 937 broadway at 22nd st., new york, 2124738388, american, 176
alamo, 304 e. 48th st., new york, 212 7590590, mexican, 177
alleys end, 311 w. 17th st., new york, 2126278899, american, 178
ambassador grill, 1 united nations plaza at 44th st., new york, 2127025014, american, 179
american place, 2 park ave. at 32nd st., new york, 2126842122, american, 180
anche vivolo, 222 e. 58th st.  between 2nd and 3rd aves., new york, 2123080112, italian, 181
arizona, 206 206 e. 60th st., new york, 2128380440, american, 182
arturos, 106 w. houston st.  off thompson st., new york, 2126773820, italian, 183
au mandarin, 200250 vesey st. world financial center, new york, 2123850313, asian, 184
bar anise, 1022 3rd ave.  between 60th and 61st sts., new york, 2123551112, mediterranean, 185
barbetta, 321 w. 46th st., new york, 2122469171, italian, 186
ben bensons, 123 w. 52nd st., new york, 2125818888, american, 187
big cup, 228 8th ave.  between 21st and 22nd sts., new york, 2122060059, coffee bar, 188
billys, 948 1st ave.  between 52nd and 53rd sts., new york, 2127531870, american, 189
boca chica, 13 1st ave.  near 1st st., new york, 2124730108, latin american, 190
bolo, 23 e. 22nd st., new york, 2122282200, mediterranean, 191
boonthai, 1393a 2nd ave.  between 72nd and 73rd sts., new york, 2122498484, asian, 192
bouterin, 420 e. 59th st.  off 1st ave., new york, 2127580323, french, 193
brothers barbq, 225 varick st. at clarkston st., new york, 2127272775, american, 194
bruno, 240 e. 58th st., new york, 2126884190, italian, 195
bryant park grill  roof restaurant and bp cafe, 25 w. 40th st.  between 5th and 6th aves., new york, 2128406500, american, 196
c3, 103 waverly pl.  near washington sq., new york, 2122541200, american, 197
ct, 111 e. 22nd st.  between park ave. s and lexington ave., new york, 2129958500, french, 198
cafe bianco, 1486 2nd ave.  between 77th and 78th sts., new york, 2129882655, coffee bar, 199
cafe botanica, 160 central park s, new york, 2124845120, french, 200
cafe la fortuna, 69 w. 71st st., new york, 2127245846, coffee bar, 201
cafe luxembourg, 200 w. 70th st., new york, 2128737411, french, 202
cafe pierre, 2 e. 61st st., new york, 2129408185, french, 203
cafe centro, 200 park ave.  between 45th st. and vanderbilt ave., new york, 2128181222, french, 204
cafe fes, 246 w. 4th st. at charles st., new york, 2129247653, mediterranean, 205
caffe dante, 81 macdougal st.  between houston and bleeker sts., new york, 2129825275, coffee bar, 206
caffe dellartista, 46 greenwich ave., new york, 2126454431, coffee bar, 207
caffe lure, 169 sullivan st.  between houston and bleecker sts., new york, 2124732642, french, 208
caffe reggio, 119 macdougal st.  between 3rd and bleecker sts., new york, 2124759557, coffee bar, 209
caffe roma, 385 broome st. at mulberry, new york, 2122268413, coffee bar, 210
caffe vivaldi, 32 jones st. at bleecker st., new york, 2126917538, coffee bar, 211
caffe bondi ristorante, 7 w. 20th st., new york, 2126918136, italian, 212
capsouto freres, 451 washington st.  near watts st., new york, 2129664900, french, 213
captains table, 860 2nd ave. at 46th st., new york, 2126979538, seafood, 214
casa la femme, 150 wooster st.  between houston and prince sts., new york, 2125050005, middle eastern, 215
cendrillon asian grill & marimba bar, 45 mercer st.  between broome and grand sts., new york, 2123439012, asian, 216
chez jacqueline, 72 macdougal st.  between w. houston and bleecker sts., new york, 2125050727, french, 217
chiam, 160 e. 48th st., new york, 2123712323, asian, 218
china grill, 60 w. 53rd st., new york, 2123337788, american, 219
cite, 120 w. 51st st., new york, 2129567100, french, 220
coco pazzo, 23 e. 74th st., new york, 2127940205, italian, 221
columbus bakery, 53rd sts., new york, 2124210334, coffee bar, 222
corrado cafe, 1013 3rd ave.  between 60th and 61st sts., new york, 2127535100, coffee bar, 223
cupcake cafe, 522 9th ave. at 39th st., new york, 2124651530, coffee bar, 224
da nico, 164 mulberry st.  between grand and broome sts., new york, 2123431212, italian, 225
dean & deluca, 121 prince st., new york, 2122548776, coffee bar, 226
diva, 341 w. broadway  near grand st., new york, 2129419024, italian, 227
dix et sept, 181 w. 10th st., new york, 2126458023, french, 228
docks, 633 3rd ave. at 40th st., new york, 212 9868080, seafood, 229
duane park cafe, 157 duane st.  between w. broadway and hudson st., new york, 2127325555, american, 230
el teddys, 219 w. broadway  between franklin and white sts., new york, 2129417070, mexican, 231
emilys, 1325 5th ave. at 111th st., new york, 2129961212, american, 232
empire korea, 6 e. 32nd st., new york, 2127251333, asian, 233
ernies, 2150 broadway  between 75th and 76th sts., new york, 2124961588, american, 234
evergreen cafe, 1288 1st ave. at 69th st., new york, 2127443266, asian, 235
f. ille ponte ristorante, 39 desbrosses st.  near west st., new york, 2122264621, italian, 236
felix, 340 w. broadway at grand st., new york, 2124310021, french, 237
ferrier, 29 e. 65th st., new york, 2127729000, french, 238
fifty seven fifty seven, 57 e. 57th st., new york, 2127585757, american, 239
film center cafe, 635 9th ave.  between 44th and 45th sts., new york, 212 2622525, american, 240
fiorellos roman cafe, 1900 broadway  between 63rd and 64th sts., new york, 2125955330, italian, 241
firehouse, 522 columbus ave.  between 85th and 86th sts., new york, 2125953139, american, 242
first, 87 1st ave.  between 5th and 6th sts., new york, 2126743823, american, 243
fishin eddie, 73 w. 71st st., new york, 2128743474, seafood, 244
fleur de jour, 348 e. 62nd st., new york, 2123552020, coffee bar, 245
flowers, 21 west 17th st.  between 5th and 6th aves., new york, 2126918888, american, 246
follonico, 6 w. 24th st., new york, 2126916359, italian, 247
fraunces tavern, 54 pearl st. at broad st., new york, 2122690144, american, 248
french roast, 458 6th ave. at 11th st., new york, 2125332233, french, 249
french roast cafe, 2340 broadway at 85th st., new york, 2127991533, coffee bar, 250
frico bar, 402 w. 43rd st.  off 9th ave., new york, 2125647272, italian, 251
fujiyama mama, 467 columbus ave.  between 82nd and 83rd sts., new york, 2127691144, asian, 252
gabrielas, 685 amsterdam ave. at 93rd st., new york, 2129610574, mexican, 253
gallaghers, 228 w. 52nd st., new york, 2122455336, american, 254
giannis, 15 fulton st., new york, 2126087300, seafood, 255
girafe, 208 e. 58th st.  between 2nd and 3rd aves., new york, 2127523054, italian, 256
global, 33 93 2nd ave.  between 5th and 6th sts., new york, 2124778427, american, 257
golden unicorn, 18 e. broadway at catherine st., new york, 212 9410911, asian, 258
grand ticino, 228 thompson st.  between w. 3rd and bleecker sts., new york, 2127775922, italian, 259
halcyon, 151 w. 54th st.  in the rihga royal hotel, new york, 2124688888, american, 260
hard rock cafe, 221 w. 57th st., new york, 2124896565, american, 261
hilife restaurant and lounge, 1340 1st ave. at 72nd st., new york, 2122493600, american, 262
home, 20 cornelia st.  between bleecker and w. 4th st., new york, 2122439579, american, 263
hudson river club, 4 world financial center, new york, 2127861500, american, 264
i trulli, 122 e. 27th st.  between lexington and park aves., new york, 2124817372, italian, 265
il cortile, 125 mulberry st.  between canal and hester sts., new york, 2122266060, italian, 266
il nido, 251 e. 53rd st., new york, 2127538450, italian, 267
inca grill, 492 broome st.  near w. broadway, new york, 2129663371, latin american, 268
indochine, 430 lafayette st.  between 4th st. and astor pl., new york, 2125055111, asian, 269
internet cafe, 82 e. 3rd st.  between 1st and 2nd aves., new york, 212 6140747, coffee bar, 270
ipanema, 13 w. 46th st., new york, 2127305848, latin american, 271
jean lafitte, 68 w. 58th st., new york, 2127512323, french, 272
jewel of india, 15 w. 44th st., new york, 2128695544, asian, 273
jimmy sungs, 219 e. 44th st.  between 2nd and 3rd aves., new york, 2126825678, asian, 274
joe allen, 326 w. 46th st., new york, 2125816464, american, 275
judson grill, 152 w. 52nd st., new york, 2125825252, american, 276
labsinthe, 227 e. 67th st., new york, 2127944950, french, 277
lauberge, 1191 1st ave.  between 64th and 65th sts., new york, 2122888791, middle eastern, 278
lauberge du midi, 310 w. 4th st.  between w. 12th and bank sts., new york, 2122424705, french, 279
ludo, 432 lafayette st.  near astor pl., new york, 2123880978, french, 280
la reserve, 4 w. 49th st., new york, 2122472993, french, 281
lanza restaurant, 168 1st ave.  between 10th and 11th sts., new york, 2126747014, italian, 282
lattanzi ristorante, 361 w. 46th st., new york, 2123150980, italian, 283
layla, 211 w. broadway at franklin st., new york, 2124310700, middle eastern, 284
le chantilly, 106 e. 57th st., new york, 2127512931, french, 285
le colonial, 149 e. 57th st., new york, 212 7520808, asian, 286
