loan_amount,term,int_rate,installment,applicant,loan_length,home_ownership,annual_income,state
25000,"60 months",9.9999,99.9999,CFO,"10+ years",MORTGAGE,63500,NC
1000,"36 months",9.9999,42.8700,"""",n/a,MORTGAGE,50000,IL
2000,"36 months",8.1900,62.8500,Laborer,"4 years",MORTGAGE,100000,PA
9000,"36 months",6.4600,99.9999,Driver,"10+ years",MORTGAGE,35000,CT
20000,"36 months",9.9999,99.9999,"Lead Transportation Security O","10+ years",MORTGAGE,98500,CA
29450,"36 months",8.1900,99.9999,"General Manager","10+ years",MORTGAGE,161000,CA
34625,"60 months",9.9999,99.9999,"Vice President","10+ years",MORTGAGE,137500,TX
31450,"36 months",7.5600,99.9999,"Construction Manager","7 years",MORTGAGE,130000,NV
15500,"36 months",9.9999,99.9999,"Administrative Assistant","10+ years",RENT,52000,CA
12000,"36 months",9.9999,99.9999,"Transportation Manager","10+ years",RENT,79365,NY
36000,"60 months",9.9999,99.9999,Pharmacist,"9 years",RENT,160000,MA
30000,"36 months",9.9999,99.9999,"Structural Engineer","7 years",MORTGAGE,116000,TX
3000,"36 months",9.9999,99.9999,"IT Assistant","10+ years",RENT,50000,NY
35000,"36 months",9.9999,99.9999,"Anti Money Laundering Complian","2 years",RENT,112000,IL
26500,"60 months",9.9999,99.9999,"Compliance Director","10+ years",MORTGAGE,134000,OK
4000,"36 months",9.9999,99.9999,Security,"3 years",RENT,90000,NJ
12000,"60 months",9.9999,99.9999,"Header operator","< 1 year",OWN,65000,IL
3000,"36 months",9.9999,99.9999,Banker,"4 years",MORTGAGE,60000,NY
8000,"36 months",9.9999,99.9999,"Warehouse Associates","4 years",RENT,42300,KY
10250,"36 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,96000,CA
22400,"60 months",9.9999,99.9999,"Paramedic/ Fire Fighter","10+ years",OWN,56000,VA
27000,"60 months",9.9999,99.9999,Supervisor,"10+ years",MORTGAGE,45000,MO
24000,"36 months",9.9999,99.9999,"overnight supervisor","7 years",RENT,30000,TX
6500,"36 months",9.9999,99.9999,Dealer,"< 1 year",RENT,50000,CA
25000,"36 months",9.9999,99.9999,"OFFICE MANAGER","10+ years",RENT,95000,CA
8000,"36 months",9.9999,99.9999,Goldsmith,"2 years",RENT,95000,IL
21000,"60 months",9.9999,99.9999,Lpn,"5 years",OWN,50000,OH
10000,"36 months",9.9999,99.9999,Teacher,"10+ years",RENT,47000,NC
7500,"36 months",9.9999,99.9999,"lab tech","10+ years",OWN,50000,NC
30000,"36 months",9.9999,99.9999,"customer service","10+ years",RENT,40000,NJ
3775,"36 months",9.9999,99.9999,"""",n/a,OWN,5000,KY
5600,"36 months",9.9999,99.9999,"""",n/a,RENT,20166,CT
6000,"36 months",9.9999,99.9999,"Facility Maintenance Tech","3 years",RENT,40000,MD
16000,"36 months",9.9999,99.9999,Plumber,"4 years",OWN,50000,AL
15000,"36 months",9.9999,99.9999,asst.mgr,"3 years",RENT,60000,GA
21000,"60 months",9.9999,99.9999,"Police Captain","10+ years",RENT,109000,WI
25000,"60 months",9.9999,99.9999,"Veterinary Assistant","1 year",MORTGAGE,70000,NC
1000,"36 months",8.1900,31.4300,"Project manager","10+ years",MORTGAGE,78000,WA
16000,"60 months",9.9999,99.9999,"Regional Manager","10+ years",RENT,200000,NC
8500,"36 months",9.9999,99.9999,"DIRECT CARE PROVIDER","7 years",MORTGAGE,70200,VA
30000,"36 months",9.9999,99.9999,Supervisor,"5 years",MORTGAGE,100000,CA
3000,"36 months",8.8100,95.1400,"""",n/a,RENT,71250,WA
16000,"36 months",9.9999,99.9999,"account manager","10+ years",MORTGAGE,140000,CA
8000,"36 months",9.9999,99.9999,Controller,"4 years",MORTGAGE,95000,MI
30000,"60 months",9.9999,99.9999,"senior buyer","10+ years",MORTGAGE,65000,CA
6000,"36 months",9.9999,99.9999,Manager,"10+ years",RENT,55000,NY
5000,"36 months",9.9999,99.9999,Consultant,"2 years",RENT,80000,NY
10000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,90000,CA
20000,"60 months",9.9999,99.9999,Sales,"10+ years",MORTGAGE,30000,IL
22650,"36 months",9.9999,99.9999,President,"7 years",MORTGAGE,145000,FL
10000,"36 months",9.9999,99.9999,"Nurse technician","2 years",OWN,35000,WA
24000,"36 months",9.9999,99.9999,"Maintenance Manager","10+ years",MORTGAGE,100000,IL
4000,"36 months",9.9999,99.9999,"Math Instructor","< 1 year",MORTGAGE,37000,MO
30000,"36 months",9.9999,99.9999,Firefighter,"10+ years",RENT,90000,NE
11000,"36 months",9.9999,99.9999,"Senior Area Sales Manager","3 years",MORTGAGE,240000,MI
24000,"60 months",9.9999,99.9999,"Director of reinsurance","10+ years",MORTGAGE,125000,IL
18000,"60 months",9.9999,99.9999,"Office Manager","10+ years",MORTGAGE,32000,CA
18000,"36 months",8.8100,99.9999,Sever,"< 1 year",RENT,40000,NY
5525,"36 months",9.9999,99.9999,"Vice President","10+ years",RENT,118000,FL
2525,"36 months",9.9999,89.9200,"Tech Driver","1 year",RENT,21000,FL
32000,"60 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,110000,PA
16000,"36 months",9.9999,99.9999,"Operations Manager","2 years",RENT,52000,VA
16000,"36 months",9.9999,99.9999,"""","< 1 year",RENT,200000,PA
18500,"60 months",9.9999,99.9999,"Supply Chain Analyst","5 years",RENT,96500,MN
3000,"36 months",9.9999,97.8200,"""",n/a,MORTGAGE,30000,TX
23000,"60 months",9.9999,99.9999,"""",n/a,OWN,75000,NY
1500,"36 months",9.9999,54.2100,"Product Line Specilalist","10+ years",MORTGAGE,56160,MD
24000,"60 months",9.9999,99.9999,"Medical Doctor","10+ years",MORTGAGE,380000,LA
5000,"36 months",9.9999,99.9999,"Enrollment Services Advisor","3 years",RENT,50000,CA
25000,"36 months",9.9999,99.9999,Army,"10+ years",MORTGAGE,80000,SC
2500,"36 months",9.9999,94.0500,"Room Attendant","3 years",RENT,29000,NY
12000,"60 months",9.9999,99.9999,MAINTENANCE,"10+ years",RENT,62000,NH
9600,"36 months",9.9999,99.9999,"Sales VP","3 years",RENT,100000,OH
10000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,10020,CA
7000,"36 months",9.9999,99.9999,"General Manager","7 years",MORTGAGE,52000,RI
8000,"36 months",9.9999,99.9999,"Medical Coder","1 year",RENT,49400,CA
5000,"36 months",9.9999,99.9999,"Plant Logistics Manager","< 1 year",MORTGAGE,115000,NE
10000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,280000,OR
8000,"36 months",9.9999,99.9999,Optician,"6 years",MORTGAGE,38000,PA
4000,"36 months",9.9999,99.9999,"""",n/a,RENT,19000,CA
24000,"60 months",9.9999,99.9999,"Bill Collector","1 year",MORTGAGE,72000,IL
25000,"60 months",9.9999,99.9999,"Production Manager","5 years",MORTGAGE,45000,LA
3000,"36 months",9.9999,99.9999,Cna,"7 years",MORTGAGE,33000,TX
35000,"60 months",9.9999,99.9999,"Financial Advisor","10+ years",RENT,90000,OH
8800,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,21000,TX
10500,"60 months",9.9999,99.9999,"""",n/a,OWN,36000,AZ
25000,"60 months",9.9999,99.9999,"City Crrier","3 years",MORTGAGE,65000,VT
5500,"36 months",9.9999,99.9999,Engineer,"5 years",MORTGAGE,98000,TX
12000,"60 months",9.9999,99.9999,"Reimbursement specialist","6 years",MORTGAGE,39000,NY
8500,"36 months",9.9999,99.9999,"Asst. Manager","8 years",MORTGAGE,80000,TX
35000,"60 months",9.9999,99.9999,"Instructor for Training Squadr","10+ years",RENT,80000,TX
8250,"36 months",9.9999,99.9999,Driver,"10+ years",MORTGAGE,68000,AL
40000,"60 months",9.9999,99.9999,"Assistant to the Treasurer (Pa","< 1 year",MORTGAGE,45000,OH
20000,"36 months",9.9999,99.9999,UPS/Shipping,"10+ years",MORTGAGE,60000,OH
18000,"36 months",8.8100,99.9999,Attorney-Adviser,"3 years",RENT,100203,DC
11000,"36 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,89000,NJ
12000,"36 months",9.9999,99.9999,"Sales Account Manager","4 years",RENT,70000,FL
15000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,72000,GA
4000,"36 months",9.9999,99.9999,"Vacation Advisor","5 years",RENT,54000,FL
32000,"60 months",9.9999,99.9999,Manager,"4 years",MORTGAGE,70000,FL
15000,"60 months",9.9999,99.9999,"Operation s director","10+ years",MORTGAGE,120000,SC
18000,"60 months",9.9999,99.9999,Machinst/Programer,"7 years",MORTGAGE,60000,UT
13000,"36 months",9.9999,99.9999,"Help Tech Supervisor","10+ years",MORTGAGE,92360,GA
10000,"36 months",9.9999,99.9999,"Operations Coordinator","1 year",MORTGAGE,63000,IL
3600,"36 months",9.9999,99.9999,Analyst,"5 years",MORTGAGE,50000,KY
22000,"60 months",9.9999,99.9999,"Corporate Communications Strat","10+ years",MORTGAGE,155000,IN
10450,"36 months",9.9999,99.9999,"Project Manager","10+ years",MORTGAGE,70000,TN
10000,"36 months",9.9999,99.9999,"Service tech.","9 years",RENT,100000,CA
10000,"36 months",9.9999,99.9999,"Especialist 1","7 years",MORTGAGE,37115,NV
5000,"36 months",9.9999,99.9999,Shipping,"2 years",RENT,40000,NC
20000,"36 months",7.5600,99.9999,Teacher,"10+ years",MORTGAGE,100000,WA
17100,"36 months",9.9999,99.9999,Receptionist,"10+ years",RENT,38000,PA
10475,"36 months",9.9999,99.9999,Teacher,"6 years",RENT,66150,TX
10000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,55000,CA
7500,"36 months",9.9999,99.9999,Supervisor,"7 years",MORTGAGE,40500,IL
4000,"36 months",9.9999,99.9999,"Extrusion assistant","10+ years",MORTGAGE,56000,GA
15400,"60 months",9.9999,99.9999,"DISTRICT SALES MANAGER","3 years",MORTGAGE,110000,OH
35000,"36 months",9.9999,99.9999,"Staff Physician","8 years",MORTGAGE,360000,FL
30000,"60 months",9.9999,99.9999,"Claims Analyst","1 year",RENT,50000,AZ
16800,"60 months",9.9999,99.9999,"procurement supervisor","10+ years",RENT,75000,CA
25000,"60 months",9.9999,99.9999,"radiologic technologist","10+ years",MORTGAGE,75000,WA
10000,"36 months",9.9999,99.9999,"Training Manager","10+ years",MORTGAGE,94800,FL
20000,"60 months",9.9999,99.9999,RN,"1 year",MORTGAGE,70000,CA
35000,"60 months",9.9999,99.9999,"elementary school teacher","10+ years",MORTGAGE,106095,MA
4000,"36 months",9.9999,99.9999,supervisor,"10+ years",OWN,80000,VA
10000,"60 months",9.9999,99.9999,"Sale Consultant","2 years",RENT,90000,NJ
4500,"36 months",9.9999,99.9999,"Accounts Examiner III","10+ years",RENT,38500,TX
14000,"60 months",9.9999,99.9999,"""",n/a,RENT,55000,CA
6500,"36 months",9.9999,99.9999,Educator,"2 years",RENT,46500,AL
29625,"60 months",9.9999,99.9999,"""","< 1 year",OWN,48000,TX
16000,"60 months",9.9999,99.9999,"General Manager","7 years",OWN,88000,IN
12000,"60 months",9.9999,99.9999,"Assistant Athletic Director of","1 year",RENT,67000,VA
35000,"60 months",9.9999,99.9999,"Sr Sales Manager","10+ years",MORTGAGE,290000,MO
30000,"60 months",9.9999,99.9999,"Casino Host","10+ years",OWN,62000,CA
16000,"36 months",9.9999,99.9999,Carpenter,"10+ years",RENT,150000,CA
24000,"36 months",9.9999,99.9999,"MAINTENANCE PLANNER","3 years",OWN,105000,LA
14000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,77479,GA
40000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,136000,MI
24000,"60 months",9.9999,99.9999,Firefighter/captain,"10+ years",MORTGAGE,140000,OR
28000,"36 months",9.9999,99.9999,"Executive Administrative Assis","5 years",RENT,82000,CA
7075,"36 months",9.9999,99.9999,"""",n/a,RENT,19200,MO
1000,"36 months",9.9999,38.9200,"""",n/a,RENT,29000,MN
5400,"36 months",9.9999,99.9999,"Shift Supervisor","2 years",MORTGAGE,25000,OK
10000,"36 months",9.9999,99.9999,"""",n/a,OWN,17440,TN
10000,"36 months",9.9999,99.9999,"Workforce Analyst","7 years",RENT,90000,OH
25000,"36 months",9.9999,99.9999,Captain,"3 years",RENT,67000,KS
6000,"36 months",6.4600,99.9999,"Senior manager","3 years",RENT,27000,CA
7000,"36 months",9.9999,99.9999,"Reference/YA Librarian","3 years",RENT,45581,MA
30000,"60 months",9.9999,99.9999,"Senior Software Engineer","2 years",MORTGAGE,113000,MI
5000,"36 months",9.9999,99.9999,"Software Consultant","6 years",RENT,110000,NJ
15000,"36 months",9.9999,99.9999,"Financial Planner","10+ years",MORTGAGE,175000,NJ
15000,"60 months",9.9999,99.9999,""Manager"," Patient Finance"","4 years",0,de
20000,"36 months",9.9999,99.9999,"bus driver","4 years",OWN,52000,NE
20400,"60 months",9.9999,99.9999,"Bakery Manager","10+ years",MORTGAGE,140000,CO
20000,"60 months",9.9999,99.9999,Esthetician,"< 1 year",RENT,40000,CA
8425,"36 months",9.9999,99.9999,"Senior Director Risk Managemen","3 years",MORTGAGE,450000,MA
21000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,68000,FL
10000,"36 months",9.9999,99.9999,"Software Engineer","8 years",MORTGAGE,143000,TX
15000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,42000,VA
24000,"60 months",9.9999,99.9999,Manager,"10+ years",MORTGAGE,75000,MI
15000,"60 months",9.9999,99.9999,""VP"," Solutions Managemen","9 years",0,de
5000,"36 months",9.9999,99.9999,Teacher,"5 years",OWN,72000,CA
30000,"60 months",9.9999,99.9999,"PRIVATE CLIENT BANKER","2 years",RENT,120000,CA
35000,"60 months",9.9999,99.9999,OPERATOR,"10+ years",MORTGAGE,68000,GA
3000,"36 months",9.9999,97.2700,Driver,"7 years",RENT,40000,MI
1000,"36 months",6.4600,30.6400,"Service Consultant","3 years",MORTGAGE,49989,NC
10000,"60 months",9.9999,99.9999,Teacher,"5 years",RENT,66931,NY
5000,"36 months",9.9999,99.9999,"""",n/a,RENT,13000,PA
16500,"60 months",9.9999,99.9999,"case manager","5 years",MORTGAGE,37000,TX
6000,"36 months",9.9999,99.9999,"Shift Supervisor","5 years",MORTGAGE,30000,NY
35000,"60 months",9.9999,99.9999,"Sr. Vice President -Risk Manag","7 years",MORTGAGE,211646,TX
34575,"60 months",9.9999,99.9999,"Compliance manager","5 years",MORTGAGE,130000,AZ
1200,"36 months",9.9999,43.3700,"Haz Mat S/R","10+ years",OWN,52000,IL
9600,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,35704,KY
4800,"36 months",9.9999,99.9999,Server,"9 years",RENT,38500,CO
5000,"36 months",9.9999,99.9999,"Director of Sales","10+ years",MORTGAGE,72000,FL
10000,"60 months",9.9999,99.9999,Printer,"9 years",RENT,60000,KS
7500,"36 months",9.9999,99.9999,"Program Manager","2 years",RENT,84000,IL
16000,"60 months",9.9999,99.9999,"Surgery scheduler","2 years",RENT,35000,CA
7200,"36 months",9.9999,99.9999,"Mail Processing Clerk","2 years",RENT,56000,NY
27975,"36 months",9.9999,99.9999,Conductor,"10+ years",MORTGAGE,180000,NY
16000,"60 months",9.9999,99.9999,LMSW,"10+ years",RENT,46000,TX
15000,"36 months",9.9999,99.9999,Attorney,"3 years",MORTGAGE,150000,NH
9000,"36 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,85000,WA
1000,"36 months",9.9999,36.6300,Lpn,"3 years",MORTGAGE,57000,MD
28000,"60 months",9.9999,99.9999,"Project Manager","10+ years",MORTGAGE,128500,TX
10000,"36 months",9.9999,99.9999,"Medical Technologist","3 years",RENT,67427,MA
25000,"60 months",9.9999,99.9999,teacher,"10+ years",OWN,110000,NY
23000,"36 months",9.9999,99.9999,"Sr. CAE Analyst","3 years",MORTGAGE,145000,CO
25000,"60 months",9.9999,99.9999,"Tire builder","10+ years",MORTGAGE,85000,AL
15000,"36 months",8.1900,99.9999,"IT Manager","10+ years",MORTGAGE,92584,FL
35000,"60 months",9.9999,99.9999,"administrative clerk","10+ years",RENT,90000,NJ
5000,"36 months",5.0000,99.9999,"E-commerce associate","4 years",RENT,26976,WA
35000,"36 months",8.1900,99.9999,""Director"," Analytics"","10+ years",0,cr
30000,"36 months",9.9999,99.9999,Mechanic,"10+ years",RENT,85000,VA
6600,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,95000,OR
20300,"60 months",9.9999,99.9999,"Service Advisor","2 years",MORTGAGE,185000,WA
4000,"36 months",9.9999,99.9999,"LEA Technician","1 year",RENT,57600,OR
10000,"36 months",7.5600,99.9999,"office work","10+ years",OWN,44000,OK
21000,"60 months",9.9999,99.9999,"UC Engineer","3 years",MORTGAGE,99000,FL
10000,"36 months",9.9999,99.9999,Carpenter,"7 years",MORTGAGE,80000,IL
3000,"36 months",8.1900,94.2800,"Marketing director","10+ years",MORTGAGE,100000,CA
8000,"36 months",9.9999,99.9999,"autopsy technician","3 years",MORTGAGE,52000,FL
1000,"36 months",9.9999,38.9200,"Deputy City Clerk","4 years",RENT,35000,IL
5100,"36 months",5.0000,99.9999,"Administration Security","10+ years",MORTGAGE,76000,FL
4000,"36 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,64000,NM
35000,"60 months",9.9999,99.9999,"Project Manager","3 years",MORTGAGE,72000,FL
4000,"36 months",5.0000,99.9999,"Lead Pastor","10+ years",OWN,60000,MI
10000,"36 months",8.8100,99.9999,Supervisor,"10+ years",RENT,95000,IN
20000,"60 months",9.9999,99.9999,"Front office Lead","4 years",RENT,57000,WA
22000,"60 months",9.9999,99.9999,"Registered Nurse","10+ years",MORTGAGE,152000,OR
6600,"36 months",9.9999,99.9999,"Sewell collision center","10+ years",RENT,45000,TX
3000,"36 months",9.9999,99.9999,Manager,"5 years",MORTGAGE,95000,CA
35000,"60 months",9.9999,99.9999,"ICD Audit and Operations Offic","10+ years",RENT,213000,VA
5000,"36 months",9.9999,99.9999,"Police Officer","< 1 year",RENT,38200,GA
6025,"36 months",9.9999,99.9999,Clerk,"4 years",RENT,16800,MA
21600,"36 months",8.1900,99.9999,"Streets Engineering Tech","10+ years",MORTGAGE,84200,MN
7000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,65000,FL
10000,"36 months",9.9999,99.9999,"IT Compliance Analyst","2 years",RENT,96000,GA
18000,"36 months",9.9999,99.9999,sales,"10+ years",MORTGAGE,63000,MI
15000,"60 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,165000,TX
7000,"36 months",9.9999,99.9999,"HR Assistant","2 years",MORTGAGE,51000,OH
4500,"36 months",9.9999,99.9999,CPA,"6 years",RENT,72000,OR
5000,"36 months",6.4600,99.9999,"Director of Rehabilitation","1 year",MORTGAGE,120000,TX
10000,"36 months",8.8100,99.9999,"Research Team Manager","6 years",RENT,62000,UT
6000,"36 months",5.0000,99.9999,"Mutual Funds Administrator","8 years",MORTGAGE,65000,WI
16000,"36 months",8.8100,99.9999,Engineer,"5 years",MORTGAGE,94000,FL
4500,"36 months",9.9999,99.9999,"IT Specialist","10+ years",MORTGAGE,98650,NC
5000,"36 months",9.9999,99.9999,"Autism para","6 years",MORTGAGE,60000,CO
10000,"36 months",9.9999,99.9999,"Registered Nurse","3 years",MORTGAGE,150000,PA
17425,"36 months",9.9999,99.9999,Controller,"10+ years",RENT,109000,FL
10000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,60000,CA
2000,"36 months",9.9999,71.2200,"Event Manager","4 years",MORTGAGE,71000,FL
5000,"36 months",9.9999,99.9999,GM,"10+ years",RENT,72000,FL
1300,"36 months",7.5600,40.4800,"Language Director","2 years",MORTGAGE,80000,FL
20000,"60 months",9.9999,99.9999,"Financial Center Manager","6 years",RENT,80000,TN
2500,"36 months",9.9999,84.9200,Manager,"5 years",RENT,42000,PA
5000,"36 months",9.9999,99.9999,"sheet metal worker","10+ years",RENT,50000,OH
6000,"36 months",8.1900,99.9999,Collector,"6 years",RENT,39000,FL
36000,"60 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,90000,GA
16000,"36 months",9.9999,99.9999,Translator/linguistic,"4 years",MORTGAGE,65000,GA
16000,"60 months",9.9999,99.9999,Teacher,"5 years",MORTGAGE,138300,GA
8000,"36 months",9.9999,99.9999,"Service Tech","4 years",MORTGAGE,60000,SC
2200,"36 months",9.9999,81.6800,Teller,"< 1 year",OWN,30000,FL
7000,"36 months",9.9999,99.9999,"Personal Trainer","1 year",RENT,30000,TX
10000,"36 months",9.9999,99.9999,Sonographer,"< 1 year",MORTGAGE,65000,NC
14000,"36 months",9.9999,99.9999,"Rad tech","10+ years",MORTGAGE,36000,NE
10000,"36 months",9.9999,99.9999,"Operations Manager","4 years",MORTGAGE,125000,NY
8000,"36 months",8.8100,99.9999,Bartender,"3 years",MORTGAGE,55000,VT
8000,"36 months",8.1900,99.9999,Management,"10+ years",MORTGAGE,100000,MD
30000,"36 months",7.5600,99.9999,"Licensed Clinical Psychologist","7 years",MORTGAGE,155000,IL
15000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,100000,NM
16000,"60 months",9.9999,99.9999,"Executive Chef","9 years",MORTGAGE,78000,MD
32500,"60 months",8.1900,99.9999,"signal testman","10+ years",MORTGAGE,94000,IN
8400,"36 months",9.9999,99.9999,Fsr,"1 year",MORTGAGE,50000,MD
20000,"60 months",9.9999,99.9999,"Software Developer","2 years",MORTGAGE,68000,UT
23000,"60 months",9.9999,99.9999,"Assistant Manager to Productio","3 years",RENT,33000,IL
4800,"36 months",9.9999,99.9999,Supervisor,"5 years",OWN,80000,NC
40000,"60 months",8.1900,99.9999,"SERVICE ADVISOR","10+ years",MORTGAGE,99000,OH
3600,"36 months",9.9999,99.9999,"Independent Provider","< 1 year",RENT,26000,OH
36950,"60 months",9.9999,99.9999,"Director of Infrastructure Eng","1 year",RENT,284000,CA
15000,"36 months",5.0000,99.9999,Teacher,"9 years",MORTGAGE,80000,GA
16800,"60 months",9.9999,99.9999,Drafter,"7 years",MORTGAGE,56000,NJ
13000,"36 months",5.0000,99.9999,"Kitchen Worker","8 years",OWN,35000,NV
31200,"60 months",9.9999,99.9999,Sales,"10+ years",MORTGAGE,105000,SC
25000,"60 months",9.9999,99.9999,"HR SPECIALIST","10+ years",MORTGAGE,130000,VA
30800,"36 months",9.9999,99.9999,"Library Information Specialist","10+ years",MORTGAGE,105000,IL
16000,"36 months",6.4600,99.9999,"software developer","2 years",RENT,80000,TX
3600,"36 months",9.9999,99.9999,"Office Administrator","2 years",MORTGAGE,52000,WA
